Institution,Course Number,Short Title1,Curricular Area2,Course Launch Date,Year (1-4),Offers Honor Certificates,Participants,Explorers,Certified,% Explored,% Certified,% Certified of Explored,Total Hours (Thousands),Median Hours of Certified,Median % Residential Hours,% Female,% Bachelor's+,Median Age3,% Played Video,% Posted in Forum,% Grade > 0
HarvardX,GOV1368.1x,EdPol-a2,HHRDE,10/1/2015,4,1,3126,581,246,18.59,7.87,42.34,8.08,10.69,25.44,59.86,72.04,29,61.1,10.04,7.87
HarvardX,GOV1368.2x,EdPol-b2,HHRDE,10/1/2015,4,1,702,348,180,49.57,25.64,51.72,1.85,4.65,11.07,51.02,80.42,31,55.98,11.54,25.64
HarvardX,GOV1368.3x,EdPol-c2,HHRDE,10/1/2015,4,1,492,246,127,50,25.81,51.22,1.18,3.67,8.74,50.91,78.86,30,54.07,8.54,25.81
HarvardX,GOV1368.4x,EdPol-d2,HHRDE,10/1/2015,4,1,511,212,113,41.49,22.11,53.3,1.08,4.44,10.58,51.52,74.39,31,49.71,5.68,22.11
HarvardX,ER22x,Justice-3,HHRDE,10/1/2015,4,1,30699,3607,1726,11.75,5.62,45.77,109.74,16.72,9.95,42.44,66.5,26,66.93,10.5,20.25
HarvardX,MUS24x,MusicNights-a,HHRDE,11/16/2015,4,1,3806,1790,478,47.03,12.56,26.7,12.87,8.41,20.03,47.13,71.11,36,78.09,14.61,12.56
HarvardX,PH525.1x,Genomics-a3,GHSS,10/15/2015,4,1,18540,6950,793,37.49,4.28,11.41,64.81,23.29,110.88,34.06,84.7,28,60.5,3.07,4.28
HarvardX,PH525.2x,Genomics-b3,GHSS,11/15/2015,4,1,3654,1850,444,50.63,12.15,24,10.6,11.25,53.55,25.34,84.27,29,54.71,1.7,12.15
HarvardX,PH525.3x,Genomics-c3,GHSS,12/15/2015,4,1,2379,1192,277,50.11,11.64,23.24,8.89,16.68,79.43,29.72,85.62,29,47.88,3.15,11.64
HarvardX,PH557x,Pandemic,GHSS,12/3/2015,4,1,3072,1479,616,48.14,20.05,41.65,14.21,12.82,22.89,54.51,70.64,27,70.54,14.71,39.62
HarvardX,SPU30x,AstroPhys-2,STEM,10/13/2015,4,1,29176,11250,4918,38.56,16.86,43.72,109,13.47,16.04,39.91,44.95,26,51.96,26.62,52.35
