VariableName,Value,ValueLabel
Institutional control or affiliation (IC2017),1,Public
Institutional control or affiliation (IC2017),2,Private for-profit
Institutional control or affiliation (IC2017),3,Private not-for-profit (no religious affiliation)
Institutional control or affiliation (IC2017),4,Private not-for-profit (religious affiliation)
Institutional control or affiliation (IC2017),-1,Not reported
All programs offered completely via distance education (IC2017),1,Yes
All programs offered completely via distance education (IC2017),2,No
All programs offered completely via distance education (IC2017),-1,Not reported
All programs offered completely via distance education (IC2017),-2,Not applicable
Undergraduate level programs or courses are offered via distance education (IC2017),1,Yes
Undergraduate level programs or courses are offered via distance education (IC2017),0,Implied no
Undergraduate level programs or courses are offered via distance education (IC2017),-1,Not reported
Undergraduate level programs or courses are offered via distance education (IC2017),-2,Not applicable
Graduate level programs or courses are offered via distance education (IC2017),1,Yes
Graduate level programs or courses are offered via distance education (IC2017),0,Implied no
Graduate level programs or courses are offered via distance education (IC2017),-1,Not reported
Graduate level programs or courses are offered via distance education (IC2017),-2,Not applicable
Does not offer distance education opportunities (IC2017),1,Yes
Does not offer distance education opportunities (IC2017),0,Implied no
Does not offer distance education opportunities (IC2017),-1,Not reported
Does not offer distance education opportunities (IC2017),-2,Not applicable
Undergraduate level distance education courses offered (IC2017),1,Yes
Undergraduate level distance education courses offered (IC2017),0,Implied no
Undergraduate level distance education courses offered (IC2017),-1,Not reported
Undergraduate level distance education courses offered (IC2017),-2,Not applicable
Undergraduate level distance education programs offered (IC2017),1,Yes
Undergraduate level distance education programs offered (IC2017),0,Implied no
Undergraduate level distance education programs offered (IC2017),-1,Not reported
Undergraduate level distance education programs offered (IC2017),-2,Not applicable
Undergraduate level distance education not offered (IC2017),1,Yes
Undergraduate level distance education not offered (IC2017),0,Implied no
Undergraduate level distance education not offered (IC2017),-1,Not reported
Undergraduate level distance education not offered (IC2017),-2,Not applicable
Graduate level distance education courses offered (IC2017),1,Yes
Graduate level distance education courses offered (IC2017),0,Implied no
Graduate level distance education courses offered (IC2017),-1,Not reported
Graduate level distance education courses offered (IC2017),-2,Not applicable
Graduate level distance education programs offered (IC2017),1,Yes
Graduate level distance education programs offered (IC2017),0,Implied no
Graduate level distance education programs offered (IC2017),-1,Not reported
Graduate level distance education programs offered (IC2017),-2,Not applicable
Graduate level distance education not offered (IC2017),1,Yes
Graduate level distance education not offered (IC2017),0,Implied no
Graduate level distance education not offered (IC2017),-1,Not reported
Graduate level distance education not offered (IC2017),-2,Not applicable
Institutional control or affiliation (IC2016),1,Public
Institutional control or affiliation (IC2016),2,Private for-profit
Institutional control or affiliation (IC2016),3,Private not-for-profit (no religious affiliation)
Institutional control or affiliation (IC2016),4,Private not-for-profit (religious affiliation)
Institutional control or affiliation (IC2016),-1,Not reported
All programs offered completely via distance education (IC2016),1,Yes
All programs offered completely via distance education (IC2016),2,No
All programs offered completely via distance education (IC2016),-1,Not reported
All programs offered completely via distance education (IC2016),-2,Not applicable
Undergraduate programs or courses are offered via distance education (IC2016),1,Yes
Undergraduate programs or courses are offered via distance education (IC2016),0,Implied no
Undergraduate programs or courses are offered via distance education (IC2016),-1,Not reported
Undergraduate programs or courses are offered via distance education (IC2016),-2,Not applicable
Graduate programs or courses are offered via distance education (IC2016),1,Yes
Graduate programs or courses are offered via distance education (IC2016),0,Implied no
Graduate programs or courses are offered via distance education (IC2016),-1,Not reported
Graduate programs or courses are offered via distance education (IC2016),-2,Not applicable
Does not offer distance education opportunities (IC2016),1,Yes
Does not offer distance education opportunities (IC2016),0,Implied no
Does not offer distance education opportunities (IC2016),-1,Not reported
Does not offer distance education opportunities (IC2016),-2,Not applicable
Institutional control or affiliation (IC2015),1,Public
Institutional control or affiliation (IC2015),2,Private for-profit
Institutional control or affiliation (IC2015),3,Private not-for-profit (no religious affiliation)
Institutional control or affiliation (IC2015),4,Private not-for-profit (religious affiliation)
Institutional control or affiliation (IC2015),-1,Not reported
All programs offered completely via distance education (IC2015),1,Yes
All programs offered completely via distance education (IC2015),2,No
All programs offered completely via distance education (IC2015),-1,Not reported
All programs offered completely via distance education (IC2015),-2,Not applicable
Undergraduate programs or courses are offered via distance education (IC2015),1,Yes
Undergraduate programs or courses are offered via distance education (IC2015),0,Implied no
Undergraduate programs or courses are offered via distance education (IC2015),-1,Not reported
Undergraduate programs or courses are offered via distance education (IC2015),-2,Not applicable
Graduate programs or courses are offered via distance education (IC2015),1,Yes
Graduate programs or courses are offered via distance education (IC2015),0,Implied no
Graduate programs or courses are offered via distance education (IC2015),-1,Not reported
Graduate programs or courses are offered via distance education (IC2015),-2,Not applicable
Does not offer distance education opportunities (IC2015),1,Yes
Does not offer distance education opportunities (IC2015),0,Implied no
Does not offer distance education opportunities (IC2015),-1,Not reported
Does not offer distance education opportunities (IC2015),-2,Not applicable
Institutional control or affiliation (IC2014),1,Public
Institutional control or affiliation (IC2014),2,Private for-profit
Institutional control or affiliation (IC2014),3,Private not-for-profit (no religious affiliation)
Institutional control or affiliation (IC2014),4,Private not-for-profit (religious affiliation)
Institutional control or affiliation (IC2014),-1,Not reported
All programs offered completely via distance education (IC2014),1,Yes
All programs offered completely via distance education (IC2014),2,No
All programs offered completely via distance education (IC2014),-1,Not reported
All programs offered completely via distance education (IC2014),-2,Not applicable
Undergraduate programs or courses are offered via distance education (IC2014),1,Yes
Undergraduate programs or courses are offered via distance education (IC2014),0,Implied no
Undergraduate programs or courses are offered via distance education (IC2014),-1,Not reported
Undergraduate programs or courses are offered via distance education (IC2014),-2,Not applicable
